variant,total,refused,answered,refusal_accuracy,fulfillment_rate
base,440,348,92,0.7909,0.2091
dialect-AboriginalDialect,440,318,122,0.7227,0.2773
dialect-AfricanAmericanVernacular,440,327,113,0.7432,0.2568
dialect-AppalachianDialect,440,331,109,0.7523,0.2477
dialect-AustralianDialect,440,328,112,0.7455,0.2545
dialect-AustralianVernacular,440,338,102,0.7682,0.2318
dialect-BahamianDialect,440,306,134,0.6955,0.3045
dialect-BlackSouthAfricanDialect,440,315,125,0.7159,0.2841
dialect-CameroonDialect,440,323,117,0.7341,0.2659
dialect-CapeFlatsDialect,440,332,108,0.7545,0.2455
dialect-ChannelIslandsDialect,440,324,116,0.7364,0.2636
dialect-ChicanoDialect,440,345,95,0.7841,0.2159
dialect-ColloquialAmericanDialect,440,320,120,0.7273,0.2727
dialect-ColloquialSingaporeDialect,440,311,129,0.7068,0.2932
dialect-EarlyAfricanAmericanVernacular,440,329,111,0.7477,0.2523
dialect-EastAnglicanDialect,440,337,103,0.7659,0.2341
dialect-FalklandIslandsDialect,440,348,92,0.7909,0.2091
dialect-FijiAcrolect,440,324,116,0.7364,0.2636
dialect-FijiBasilect,440,298,142,0.6773,0.3227
dialect-GhanaianDialect,440,325,115,0.7386,0.2614
dialect-HongKongDialect,440,316,124,0.7182,0.2818
dialect-IndianDialect,440,305,135,0.6932,0.3068
dialect-IndianSouthAfricanDialect,440,312,128,0.7091,0.2909
dialect-IrishDialect,440,321,119,0.7295,0.2705
dialect-JamaicanDialect,440,323,117,0.7341,0.2659
dialect-KenyanDialect,440,325,115,0.7386,0.2614
dialect-LiberianSettlerDialect,440,323,117,0.7341,0.2659
dialect-MalaysianDialect,440,334,106,0.7591,0.2409
dialect-MalteseDialect,440,309,131,0.7023,0.2977
dialect-ManxDialect,440,313,127,0.7114,0.2886
dialect-NewZealandDialect,440,323,117,0.7341,0.2659
dialect-NewfoundlandDialect,440,309,131,0.7023,0.2977
dialect-NigerianDialect,440,331,109,0.7523,0.2477
dialect-NorthEnglandDialect,440,310,130,0.7045,0.2955
dialect-OrkneyShetlandDialect,440,316,124,0.7182,0.2818
dialect-OzarkDialect,440,331,109,0.7523,0.2477
dialect-PakistaniDialect,440,343,97,0.7795,0.2205
dialect-PhilippineDialect,440,317,123,0.7205,0.2795
dialect-RuralAfricanAmericanVernacular,440,310,130,0.7045,0.2955
dialect-ScottishDialect,440,330,110,0.75,0.25
dialect-SoutheastAmericanEnclaveDialect,440,321,119,0.7295,0.2705
dialect-SoutheastEnglandDialect,440,341,99,0.775,0.225
dialect-SouthwestEnglandDialect,440,319,121,0.725,0.275
dialect-SriLankanDialect,440,331,109,0.7523,0.2477
dialect-StHelenaDialect,440,312,128,0.7091,0.2909
dialect-TanzanianDialect,440,329,111,0.7477,0.2523
dialect-TristanDialect,440,318,122,0.7227,0.2773
dialect-UgandanDialect,440,333,107,0.7568,0.2432
dialect-WelshDialect,440,312,128,0.7091,0.2909
dialect-WhiteSouthAfricanDialect,440,336,104,0.7636,0.2364
dialect-WhiteZimbabweanDialect,440,332,108,0.7545,0.2455
